,county_name,latitude,longitude,flag
490,Padstow,-33.9487767,151.030116,1
491,Padstow Heights,-33.9704029,151.0330262,1
492,Pagewood,-33.936838,151.2216943,1
493,Palm Beach,-33.6005473,151.3231536,1
494,Panania,-33.9532567,150.9968874,1
495,Parklea,-33.725,150.9161111,1
496,Parramatta,-33.8175113,151.0054009,1
497,Peakhurst,-33.9616444,151.0590667,1
498,Peakhurst Heights,-33.9768872,151.0544039,1
499,Pemulwuy,-33.8164641,150.9284441,1
500,Pendle Hill,-33.7983305,150.959439,1
501,Pennant Hills,-33.7384663,151.0716639,1
502,Penrith,-33.7510792,150.6941684,1
503,Penshurst,-33.9648292,151.0849525,1
504,Petersham,-33.8945061,151.1554222,1
505,Phillip Bay,-33.9787887,151.2327229,1
506,Picnic Point,-33.9709556,151.0072387,1
507,Pitt Town,-33.5846533,150.8709805,1
508,Pitt Town Bottoms,-33.5872298,150.8449827,1
509,Pleasure Point,-33.9725,150.9877778,1
510,Plumpton,-33.7566667,150.8427778,1
511,Point Piper,-33.8676276,151.2515727,1
512,Port Botany,-33.9734678,151.2178519,1
513,Port Hacking,-34.07353,151.12613,1
514,Potts Hill,-33.8922191,151.0329222,1
515,Potts Point,-33.8670797,151.2259967,1
516,Prairiewood,-33.8631743,150.9055074,1
517,Prestons,-33.9415149,150.8747464,1
518,Prospect,-33.8002421,150.9218377,1
519,Punchbowl,-33.928717,151.0522591,1
520,Putney,-33.826067,151.1064224,1
521,Pymble,-33.7450185,151.1424708,1
522,Pyrmont,-33.8692145,151.1923633,1
523,Quakers Hill,-33.7344444,150.8788889,1
524,Queens Park,-33.8991667,151.2472222,1
525,Queenscliff,-33.7823916,151.2854011,1
526,Raby,-34.0233333,150.8177778,1
527,Ramsgate,-33.982713,151.1399314,1
528,Ramsgate Beach,-33.9824013,151.1461479,1
529,Randwick,-33.914121,151.2410046,1
530,Redfern,-33.8931044,151.2040292,1
531,Regents Park,-33.8820048,151.02569,1
532,Regentville,-33.7708351,150.6616622,1
533,Revesby,-33.9436876,151.0137191,1
534,Revesby Heights,-33.9683842,151.0189891,1
535,Rhodes,-33.8290589,151.0873578,1
536,Richmond,-33.6009721,150.7496405,1
537,Richmond Lowlands,-33.5652,150.7596,1
538,Riverstone,-33.6797545,150.8616695,1
539,Riverview,-33.823207,151.1600134,1
540,Riverwood,-33.9472222,151.0530556,1
541,Rockdale,-33.9542619,151.1403655,1
542,Rodd Point,-33.8658359,151.143583,1
543,Rookwood,-33.8737017,151.0552971,1
544,Rooty Hill,-33.7688649,150.8411802,1
545,Ropes Crossing,-33.7291948,150.7788889,1
546,Rose Bay,-33.8741644,151.265471,1
547,Rosebery,-33.9185861,151.204692,1
548,Rosehill,-33.8263889,151.0305556,1
549,Roselands,-33.9339943,151.0765121,1
550,Rosemeadow,-34.1066667,150.7927778,1
551,Roseville,-33.7826456,151.1827257,1
552,Roseville Chase,-33.7747222,151.2002778,1
553,Rossmore,-33.9483365,150.7677747,1
554,Rouse Hill,-33.6774941,150.9160933,1
555,Royal National Park,-34.0504392,151.0525978,1
556,Rozelle,-33.8645002,151.1743543,1
557,Ruse,-34.0733174,150.8463325,1
