,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
1969,Drummoyne,-33.85206779999999,151.15368899999999,Bowan Island Bakery,-33.85175523294607,151.15505655094188,Bakery
1970,Drummoyne,-33.85206779999999,151.15368899999999,Yume Sushi,-33.85147186569278,151.15383687137273,Sushi Restaurant
1971,Drummoyne,-33.85206779999999,151.15368899999999,Salt Meats Cheese,-33.853217517352874,151.1564976116609,Italian Restaurant
1972,Drummoyne,-33.85206779999999,151.15368899999999,Drummoyne Oval,-33.850192192782316,151.14940273123855,Cricket Ground
1973,Drummoyne,-33.85206779999999,151.15368899999999,IGA Drummoyne,-33.851068504178066,151.15395584933708,Grocery Store
1974,Drummoyne,-33.85206779999999,151.15368899999999,Kadmus Lebanese,-33.85419,151.15004,Lebanese Restaurant
1975,Drummoyne,-33.85206779999999,151.15368899999999,The Oxford Hotel,-33.85137,151.15456,Pub
1976,Drummoyne,-33.85206779999999,151.15368899999999,Subway,-33.85135,151.15362,Sandwich Place
1977,Drummoyne,-33.85206779999999,151.15368899999999,PJ's Irish Pub,-33.85126348972801,151.15465808807835,Pub
1978,Drummoyne,-33.85206779999999,151.15368899999999,Saigon Express,-33.85318,151.1517,Vietnamese Restaurant
1979,Drummoyne,-33.85206779999999,151.15368899999999,TANK,-33.85554,151.15207,Café
1980,Dulwich Hill,-33.904584899999996,151.1386091,Strawberry Fields Patisserie,-33.90359584655419,151.14189997899177,Bakery
1981,Dulwich Hill,-33.904584899999996,151.1386091,Johnson Park,-33.90129353618583,151.13764858751009,Park
1982,Dulwich Hill,-33.904584899999996,151.1386091,Sideways Deli Café,-33.900954439966455,151.13624870242725,Café
1983,Dulwich Hill,-33.904584899999996,151.1386091,The General Eatery and Supplies,-33.904848920695706,151.14395545451725,Café
1984,Dulwich Hill,-33.904584899999996,151.1386091,Campos,-33.9042671741036,151.1433950314306,Coffee Shop
1985,Dulwich Hill,-33.904584899999996,151.1386091,The Valley Lebanese Bakery,-33.90436667965661,151.14380836486816,Bakery
1986,Dulwich Hill,-33.904584899999996,151.1386091,The Hub House Diner,-33.9032000701815,151.14265373485722,Diner
1987,Dulwich Hill,-33.904584899999996,151.1386091,The Eate,-33.904623494432734,151.13891726441403,Mediterranean Restaurant
1988,Dulwich Hill,-33.904584899999996,151.1386091,Bar Valente,-33.90431041826338,151.14340216850576,Café
1989,Dulwich Hill,-33.904584899999996,151.1386091,IGA Dulwich Hill,-33.90325616630176,151.14254807540357,Grocery Store
1990,Dulwich Hill,-33.904584899999996,151.1386091,Empire Cafe,-33.90421,151.1437,Café
1991,Dulwich Hill,-33.904584899999996,151.1386091,Crust Gourmet Pizza Bar,-33.90433,151.14305,Pizza Place
1992,Dulwich Hill,-33.904584899999996,151.1386091,Moon's Fresh Sushi,-33.90325888279886,151.1423535529388,Sushi Restaurant
1993,Dulwich Hill,-33.904584899999996,151.1386091,Minh Vietnamese,-33.90513,151.14389,Vietnamese Restaurant
1994,Dulwich Hill,-33.904584899999996,151.1386091,The Shoe Chef,-33.90394,151.14146,Café
1995,Dulwich Hill,-33.904584899999996,151.1386091,Gladstone Hotel,-33.90344292613404,151.14252630033343,Pub
1996,Dulwich Hill,-33.904584899999996,151.1386091,The Larder - Epicerie fine,-33.903879516593854,151.14293203589648,Deli / Bodega
1997,Dulwich Hill,-33.904584899999996,151.1386091,The Dulwich Hill Chicken Shop,-33.90357791512261,151.14291679283863,Fast Food Restaurant
1998,Dulwich Hill,-33.904584899999996,151.1386091,Gleebooks,-33.90447,151.1432,Bookstore
1999,Dulwich Hill,-33.904584899999996,151.1386091,Lastdrop Café,-33.904233767687444,151.1433890056255,Café
2000,Dulwich Hill,-33.904584899999996,151.1386091,Cira Turkish Cuisine,-33.90469,151.14342,Middle Eastern Restaurant
2001,Dulwich Hill,-33.904584899999996,151.1386091,Arlington Oval,-33.900696883451346,151.13634110137968,Athletics & Sports
2002,Dundas,-33.802949,151.0440587,Big Tree House  Cafe,-33.80622560615959,151.04089655615883,Café
